Loan_ID,Disbursement_Date,Fiscal_Year,State,State_Tier,Sector,ITC_HS_Chapter,Enterprise_Size,Lending_Bank,Loan_Type,Loan_Amount_INR,Export_Turnover_INR,Turnover_Volatility_Pct,Destination_Country,Destination_Risk,NPA_History,IES_Eligible,Risk_Score,Risk_Tier,IES_Claimed
IES000013,2022-12-27,FY2022-23,Gujarat,1,Handicrafts,97,Small,State Bank of India,ECGC-backed Term Loan,648135,1578295,31.0,Egypt,High,No,No,65,High,No
IES000014,2023-08-15,FY2023-24,Telangana,2,Agriculture & Food Products,01-24,Small,SIDBI,Post-Shipment Credit,692711,2175203,14.2,USA,Low,No,Yes,20,Low,No
IES000015,2019-12-13,FY2019-20,Telangana,2,Handicrafts,97,Medium,Indian Bank,Export Bill Discounting,1410188,2489655,14.8,Iran,High,No,Yes,50,Medium,Yes
IES000016,2020-06-22,FY2020-21,Rajasthan,2,Handicrafts,97,Small,Axis Bank,Export Bill Discounting,353584,578350,21.3,Iran,High,Yes,Yes,90,High,No
IES000017,2020-09-05,FY2020-21,Gujarat,1,Leather & Footwear,41-64,Small,Bank of Baroda,Pre-Shipment Credit,529264,2109758,22.8,Egypt,High,No,Yes,48,Medium,No
IES000018,2023-06-04,FY2023-24,Maharashtra,1,Marine Products,03,Small,Canara Bank,Export Bill Discounting,687899,1611612,32.1,Russia,High,No,Yes,65,High,No
IES000019,2024-03-19,FY2023-24,Gujarat,1,Gems & Jewellery,71,Micro,Indian Bank,ECGC-backed Term Loan,4295632,7404174,54.3,UK,Low,No,No,30,Medium,No
IES000020,2022-06-01,FY2022-23,Gujarat,1,Textiles & Apparel,50-63,Micro,Axis Bank,Export Factoring,849439,3242082,14.9,UK,Low,No,Yes,18,Low,Yes
IES000021,2015-07-27,FY2015-16,Maharashtra,1,Engineering Goods,84-85,Micro,Bank of Baroda,Export Factoring,3012550,11489296,8.7,Egypt,High,No,Yes,35,Medium,Yes
IES000022,2018-01-18,FY2017-18,Rajasthan,2,Leather & Footwear,41-64,Micro,SIDBI,Post-Shipment Credit,906014,2333345,10.8,Sri Lanka,Medium,No,Yes,28,Low,Yes
IES000023,2021-11-26,FY2021-22,Haryana,2,Engineering Goods,84-85,Micro,Indian Bank,Pre-Shipment Credit,2145921,5349124,8.2,South Africa,Medium,No,Yes,20,Low,Yes
IES000024,2016-08-06,FY2016-17,Gujarat,1,Handicrafts,97,Micro,SIDBI,Post-Shipment Credit,329231,801001,21.3,Germany,Low,No,Yes,35,Medium,No
IES000025,2023-01-07,FY2022-23,Maharashtra,1,Handicrafts,97,Micro,Bank of Baroda,Post-Shipment Credit,322933,1343930,28.6,Vietnam,Low,No,Yes,35,Medium,Yes
IES000026,2021-05-01,FY2021-22,Gujarat,1,Engineering Goods,84-85,Micro,Punjab National Bank,Packing Credit,3071944,5710076,40.7,Others,Medium,No,Yes,40,Medium,No
IES000027,2024-03-04,FY2023-24,Andhra Pradesh,2,Chemicals & Pharma,28-30,Small,Union Bank of India,Pre-Shipment Credit,4686874,17870589,29.7,USA,Low,No,Yes,15,Low,Yes
IES000028,2015-04-26,FY2015-16,Rajasthan,2,Handicrafts,97,Micro,ICICI Bank,Post-Shipment Credit,385450,1182637,26.4,Iran,High,No,Yes,60,High,No
IES000029,2017-01-30,FY2016-17,Maharashtra,1,Leather & Footwear,41-64,Small,Axis Bank,Post-Shipment Credit,1286607,3143268,30.4,Germany,Low,Yes,Yes,68,High,No
IES000030,2016-11-01,FY2016-17,West Bengal,2,Electronic Components,85-90,Small,Punjab National Bank,Post-Shipment Credit,4870646,20567274,17.5,Singapore,Low,No,Yes,15,Low,Yes
IES000031,2018-03-10,FY2017-18,Punjab,2,Marine Products,03,Small,Bank of Baroda,Pre-Shipment Credit,1371299,2998200,8.8,UAE,Low,No,Yes,20,Low,No
IES000032,2017-01-01,FY2016-17,Gujarat,1,Gems & Jewellery,71,Medium,EXIM Bank of India,Pre-Shipment Credit,12404827,29390190,13.1,USA,Low,No,No,0,Low,No
IES000033,2017-11-11,FY2017-18,Madhya Pradesh,2,Gems & Jewellery,71,Micro,Indian Bank,Export Factoring,4880381,19087249,14.3,China,Medium,No,No,20,Low,No
IES000034,2020-03-05,FY2019-20,Maharashtra,1,Chemicals & Pharma,28-30,Small,Bank of Baroda,ECGC-backed Term Loan,4319484,18045408,32.0,UAE,Low,No,No,25,Low,No
IES000035,2018-09-23,FY2018-19,Gujarat,1,Gems & Jewellery,71,Micro,Punjab National Bank,Pre-Shipment Credit,2923256,6383822,26.4,Singapore,Low,No,No,20,Low,No
IES000036,2019-04-23,FY2019-20,Maharashtra,1,Chemicals & Pharma,28-30,Small,Punjab National Bank,Post-Shipment Credit,3432851,13573644,48.0,China,Medium,No,Yes,35,Medium,Yes
IES000037,2015-05-28,FY2015-16,Maharashtra,1,Chemicals & Pharma,28-30,Small,EXIM Bank of India,Export Factoring,3506269,9650069,16.1,Bangladesh,Medium,No,Yes,25,Low,Yes
IES000038,2020-04-21,FY2020-21,Odisha,3,Leather & Footwear,41-64,Micro,Indian Bank,Pre-Shipment Credit,409001,760576,21.9,South Africa,Medium,No,Yes,38,Medium,No
IES000039,2017-07-31,FY2017-18,Haryana,2,Chemicals & Pharma,28-30,Small,State Bank of India,Post-Shipment Credit,3605608,11020078,40.2,Turkey,Medium,No,Yes,35,Medium,No
IES000040,2018-08-15,FY2018-19,Gujarat,1,Textiles & Apparel,50-63,Micro,State Bank of India,Packing Credit,1192222,3088914,53.6,UK,Low,No,Yes,38,Medium,Yes
IES000041,2019-07-26,FY2019-20,Gujarat,1,Leather & Footwear,41-64,Medium,Punjab National Bank,Pre-Shipment Credit,1483670,3493332,6.8,UK,Low,No,Yes,8,Low,Yes
IES000042,2022-03-14,FY2021-22,Assam,3,Handicrafts,97,Medium,State Bank of India,Pre-Shipment Credit,892578,2971118,30.1,UK,Low,No,Yes,35,Medium,Yes
IES000043,2019-04-20,FY2019-20,Maharashtra,1,Plastics & Rubber,39-40,Small,EXIM Bank of India,Packing Credit,1542568,2984382,29.5,UK,Low,No,Yes,23,Low,Yes
IES000044,2018-08-09,FY2018-19,Maharashtra,1,Plastics & Rubber,39-40,Small,ICICI Bank,ECGC-backed Term Loan,1917013,8544033,17.1,USA,Low,No,No,23,Low,No
IES000045,2018-10-04,FY2018-19,Karnataka,1,Agriculture & Food Products,01-24,Small,Indian Bank,Pre-Shipment Credit,1544020,3416781,41.4,China,Medium,No,Yes,50,Medium,Yes
IES000046,2021-09-15,FY2021-22,Karnataka,1,Gems & Jewellery,71,Small,Union Bank of India,Packing Credit,7695748,20034720,36.6,Bangladesh,Medium,No,No,35,Medium,No
IES000047,2018-02-10,FY2017-18,Rajasthan,2,Plastics & Rubber,39-40,Micro,State Bank of India,Export Bill Discounting,1003903,1777781,46.8,Bangladesh,Medium,No,Yes,48,Medium,Yes
IES000048,2020-11-25,FY2020-21,Karnataka,1,Leather & Footwear,41-64,Small,Bank of India,Post-Shipment Credit,1911476,4706704,14.3,Singapore,Low,No,Yes,13,Low,Yes
IES000049,2020-05-18,FY2020-21,Madhya Pradesh,2,Leather & Footwear,41-64,Micro,Union Bank of India,Post-Shipment Credit,459759,1624187,5.8,South Africa,Medium,Yes,Yes,63,High,No
IES000050,2023-02-07,FY2022-23,Haryana,2,Textiles & Apparel,50-63,Micro,Indian Bank,Export Factoring,814960,2474446,16.3,Germany,Low,No,Yes,28,Low,Yes
IES000051,2018-06-15,FY2018-19,West Bengal,2,Engineering Goods,84-85,Micro,Bank of Baroda,Packing Credit,1665112,5949134,24.3,Turkey,Medium,No,Yes,30,Medium,No
IES000052,2022-04-26,FY2022-23,Rajasthan,2,Textiles & Apparel,50-63,Small,HDFC Bank,ECGC-backed Term Loan,2294477,9889631,11.9,Germany,Low,No,No,13,Low,No
IES000053,2020-11-13,FY2020-21,Punjab,2,Handicrafts,97,Medium,ICICI Bank,Packing Credit,556942,2380415,48.9,Germany,Low,No,Yes,35,Medium,Yes
IES000054,2019-08-05,FY2019-20,Madhya Pradesh,2,Gems & Jewellery,71,Small,ICICI Bank,Packing Credit,6387805,14524749,38.0,Nigeria,High,No,No,50,Medium,No
IES000055,2016-08-25,FY2016-17,Gujarat,1,Agriculture & Food Products,01-24,Micro,ICICI Bank,Pre-Shipment Credit,506781,1565422,17.1,UAE,Low,No,Yes,35,Medium,No
IES000056,2018-05-03,FY2018-19,Karnataka,1,Agriculture & Food Products,01-24,Micro,SIDBI,Pre-Shipment Credit,817711,1454959,49.9,Bangladesh,Medium,No,Yes,55,Medium,No
IES000057,2016-01-20,FY2015-16,Karnataka,1,Engineering Goods,84-85,Medium,Punjab National Bank,Packing Credit,10119870,25472617,22.5,Russia,High,No,Yes,45,Medium,Yes
IES000058,2024-02-03,FY2023-24,Odisha,3,Marine Products,03,Micro,SIDBI,Packing Credit,581771,2139676,49.9,UAE,Low,No,Yes,45,Medium,No
IES000059,2021-06-24,FY2021-22,Haryana,2,Chemicals & Pharma,28-30,Medium,ICICI Bank,Pre-Shipment Credit,7649055,26206388,9.2,Others,Medium,No,Yes,20,Low,Yes
IES000060,2017-02-24,FY2016-17,Karnataka,1,Marine Products,03,Micro,Punjab National Bank,Packing Credit,440276,873897,49.9,USA,Low,No,Yes,45,Medium,Yes
IES000061,2021-08-21,FY2021-22,Telangana,2,Plastics & Rubber,39-40,Micro,Bank of Baroda,Packing Credit,756224,1145819,13.0,UAE,Low,No,Yes,18,Low,No
IES000062,2020-07-24,FY2020-21,West Bengal,2,Engineering Goods,84-85,Medium,Union Bank of India,Post-Shipment Credit,5325005,16753538,39.6,Nigeria,High,No,Yes,45,Medium,Yes
IES000063,2023-03-09,FY2022-23,Maharashtra,1,Leather & Footwear,41-64,Micro,Punjab National Bank,Export Bill Discounting,427064,1553034,16.9,Germany,Low,No,Yes,28,Low,Yes
IES000064,2016-06-23,FY2016-17,Bihar,3,Textiles & Apparel,50-63,Small,Punjab National Bank,Export Factoring,2355613,5832966,42.3,Bangladesh,Medium,No,Yes,43,Medium,Yes
IES000065,2018-05-09,FY2018-19,Punjab,2,Leather & Footwear,41-64,Small,Punjab National Bank,ECGC-backed Term Loan,1933371,6714285,33.4,USA,Low,No,No,33,Medium,No
IES000066,2015-09-25,FY2015-16,Rajasthan,2,Agriculture & Food Products,01-24,Micro,Indian Bank,Export Bill Discounting,519943,926031,23.4,USA,Low,No,Yes,35,Medium,Yes
IES000067,2021-10-03,FY2021-22,Punjab,2,Marine Products,03,Small,SIDBI,Post-Shipment Credit,499912,2209126,24.7,Brazil,Medium,No,Yes,40,Medium,Yes
IES000068,2023-12-04,FY2023-24,Uttar Pradesh,2,Electronic Components,85-90,Micro,Union Bank of India,Pre-Shipment Credit,2305948,9629960,36.6,UAE,Low,No,Yes,30,Medium,No
IES000069,2021-09-20,FY2021-22,Maharashtra,1,Agriculture & Food Products,01-24,Small,Union Bank of India,Export Bill Discounting,822735,2658019,29.6,USA,Low,No,Yes,30,Medium,No
IES000070,2020-01-10,FY2019-20,Maharashtra,1,Leather & Footwear,41-64,Small,Bank of India,Packing Credit,2195409,4579028,41.1,USA,Low,No,Yes,33,Medium,No
IES000071,2022-11-16,FY2022-23,Telangana,2,Textiles & Apparel,50-63,Micro,SIDBI,ECGC-backed Term Loan,668170,2887413,52.7,UAE,Low,No,No,38,Medium,No
IES000072,2020-11-29,FY2020-21,Rajasthan,2,Agriculture & Food Products,01-24,Micro,Bank of India,Export Factoring,394258,1673464,23.5,Germany,Low,No,Yes,35,Medium,Yes
IES000073,2019-07-28,FY2019-20,Maharashtra,1,Leather & Footwear,41-64,Medium,Bank of India,Export Factoring,3427126,15048030,47.7,UAE,Low,No,Yes,38,Medium,Yes
IES000074,2022-08-20,FY2022-23,Andhra Pradesh,2,Handicrafts,97,Micro,Bank of Baroda,Post-Shipment Credit,236884,564576,24.3,China,Medium,No,Yes,45,Medium,Yes
IES000075,2023-06-04,FY2023-24,Tamil Nadu,1,Engineering Goods,84-85,Small,Bank of India,Post-Shipment Credit,4238963,8513864,32.8,Bangladesh,Medium,No,Yes,35,Medium,Yes
IES000076,2016-01-19,FY2015-16,Tamil Nadu,1,Marine Products,03,Micro,Canara Bank,Pre-Shipment Credit,506065,2180362,39.8,Germany,Low,No,Yes,45,Medium,Yes
IES000077,2016-10-23,FY2016-17,Uttar Pradesh,2,Electronic Components,85-90,Micro,State Bank of India,Post-Shipment Credit,1984529,6638292,54.5,China,Medium,No,Yes,40,Medium,Yes
IES000078,2018-05-31,FY2018-19,Rajasthan,2,Plastics & Rubber,39-40,Small,Axis Bank,Post-Shipment Credit,1820353,3495536,30.9,China,Medium,No,Yes,43,Medium,No
IES000079,2020-01-27,FY2019-20,Uttarakhand,3,Gems & Jewellery,71,Medium,State Bank of India,Export Factoring,17828446,64022791,40.1,Bangladesh,Medium,No,No,40,Medium,No
IES000080,2019-02-15,FY2018-19,Gujarat,1,Textiles & Apparel,50-63,Micro,Canara Bank,Export Factoring,1259451,3247460,19.7,USA,Low,Yes,Yes,63,High,No
IES000081,2023-03-19,FY2022-23,Punjab,2,Gems & Jewellery,71,Micro,Punjab National Bank,ECGC-backed Term Loan,4203335,17238788,50.7,USA,Low,No,No,30,Medium,No
IES000082,2017-03-18,FY2016-17,Gujarat,1,Gems & Jewellery,71,Small,Indian Bank,Export Factoring,8091773,24550659,30.1,Sri Lanka,Medium,No,No,35,Medium,No
IES000083,2021-05-29,FY2021-22,Rajasthan,2,Chemicals & Pharma,28-30,Micro,Canara Bank,Pre-Shipment Credit,1944717,7012456,44.8,Turkey,Medium,No,Yes,40,Medium,Yes
IES000084,2019-11-11,FY2019-20,Maharashtra,1,Gems & Jewellery,71,Small,Punjab National Bank,Export Factoring,10639359,44366297,21.9,Brazil,Medium,No,No,25,Low,No
IES000085,2015-11-08,FY2015-16,Andhra Pradesh,2,Electronic Components,85-90,Medium,Bank of Baroda,Post-Shipment Credit,8728793,28236252,6.8,UAE,Low,No,Yes,0,Low,Yes
IES000086,2016-03-10,FY2015-16,Madhya Pradesh,2,Electronic Components,85-90,Small,Canara Bank,Packing Credit,4786369,13865125,32.1,USA,Low,No,Yes,25,Low,Yes
IES000087,2022-02-20,FY2021-22,Madhya Pradesh,2,Textiles & Apparel,50-63,Micro,SIDBI,Export Bill Discounting,1041352,1657312,6.9,Singapore,Low,No,Yes,18,Low,Yes
IES000088,2022-03-22,FY2021-22,Uttar Pradesh,2,Plastics & Rubber,39-40,Small,ICICI Bank,Pre-Shipment Credit,776237,3079954,23.0,Vietnam,Low,No,Yes,23,Low,Yes
IES000089,2021-12-20,FY2021-22,Madhya Pradesh,2,Engineering Goods,84-85,Micro,ICICI Bank,Packing Credit,1954480,7446530,15.8,South Africa,Medium,No,Yes,30,Medium,Yes
IES000090,2023-02-15,FY2022-23,Karnataka,1,Engineering Goods,84-85,Medium,ICICI Bank,Post-Shipment Credit,6843451,23053337,9.3,UAE,Low,No,Yes,0,Low,Yes
IES000091,2016-04-15,FY2016-17,Bihar,3,Electronic Components,85-90,Micro,Bank of India,Post-Shipment Credit,2747474,8577353,36.9,Sri Lanka,Medium,Yes,Yes,75,High,No
IES000092,2021-05-18,FY2021-22,Gujarat,1,Textiles & Apparel,50-63,Medium,Bank of Baroda,ECGC-backed Term Loan,2868740,10552011,53.8,Germany,Low,No,No,28,Low,No
IES000093,2019-12-17,FY2019-20,Andhra Pradesh,2,Plastics & Rubber,39-40,Small,HDFC Bank,Post-Shipment Credit,812187,3155800,18.5,Vietnam,Low,No,Yes,23,Low,Yes
IES000094,2023-06-09,FY2023-24,Haryana,2,Gems & Jewellery,71,Medium,SIDBI,Export Bill Discounting,18011906,50737994,8.9,Sri Lanka,Medium,No,No,20,Low,No
IES000095,2015-08-23,FY2015-16,Andhra Pradesh,2,Electronic Components,85-90,Medium,Indian Bank,Packing Credit,13651665,37226163,13.7,Bangladesh,Medium,No,Yes,20,Low,Yes
IES000096,2021-01-08,FY2020-21,Telangana,2,Plastics & Rubber,39-40,Medium,EXIM Bank of India,Post-Shipment Credit,3306306,6511145,17.5,Germany,Low,No,Yes,28,Low,Yes
IES000097,2021-04-23,FY2021-22,Tamil Nadu,1,Marine Products,03,Medium,SIDBI,Packing Credit,2785350,9694667,19.0,Brazil,Medium,No,Yes,45,Medium,No
IES000098,2017-12-10,FY2017-18,Bihar,3,Chemicals & Pharma,28-30,Medium,Axis Bank,Export Bill Discounting,9671095,42210421,41.9,Singapore,Low,No,Yes,30,Medium,Yes
IES000099,2023-11-20,FY2023-24,Maharashtra,1,Chemicals & Pharma,28-30,Micro,Indian Bank,Post-Shipment Credit,4340045,11973316,17.4,Germany,Low,No,Yes,20,Low,Yes
IES000100,2022-02-27,FY2021-22,Maharashtra,1,Agriculture & Food Products,01-24,Medium,ICICI Bank,Packing Credit,2586094,6640877,42.9,Egypt,High,No,Yes,70,High,No
IES000101,2023-01-03,FY2022-23,Maharashtra,1,Textiles & Apparel,50-63,Medium,Indian Bank,Export Bill Discounting,4995521,14599517,9.9,UAE,Low,No,Yes,18,Low,Yes
IES000102,2017-02-19,FY2016-17,Andhra Pradesh,2,Textiles & Apparel,50-63,Medium,Bank of India,Export Bill Discounting,5401013,16067190,28.7,Germany,Low,Yes,Yes,63,High,No
IES000103,2015-08-29,FY2015-16,Tamil Nadu,1,Plastics & Rubber,39-40,Small,ICICI Bank,Packing Credit,1373093,3701191,35.8,USA,Low,No,Yes,33,Medium,Yes
IES000104,2017-02-07,FY2016-17,Haryana,2,Electronic Components,85-90,Micro,HDFC Bank,Export Factoring,1747188,5949666,7.3,South Africa,Medium,No,Yes,20,Low,Yes
IES000105,2020-03-07,FY2019-20,Maharashtra,1,Marine Products,03,Micro,Indian Bank,Export Factoring,683127,2055808,47.8,Turkey,Medium,No,Yes,55,Medium,Yes
IES000106,2020-02-22,FY2019-20,Bihar,3,Gems & Jewellery,71,Medium,Punjab National Bank,Post-Shipment Credit,9516412,33079817,13.1,Germany,Low,No,No,0,Low,No
IES000107,2016-07-31,FY2016-17,Karnataka,1,Agriculture & Food Products,01-24,Micro,Bank of India,Export Bill Discounting,501768,792559,34.3,Bangladesh,Medium,No,Yes,55,Medium,Yes
IES000108,2016-01-15,FY2015-16,Haryana,2,Engineering Goods,84-85,Medium,Bank of India,Packing Credit,7489229,32358642,33.8,Iran,High,No,Yes,45,Medium,No
IES000109,2019-02-05,FY2018-19,Madhya Pradesh,2,Leather & Footwear,41-64,Small,Axis Bank,Export Bill Discounting,2404133,6911302,32.3,China,Medium,No,Yes,53,Medium,No
IES000110,2018-02-16,FY2017-18,Maharashtra,1,Engineering Goods,84-85,Small,HDFC Bank,Pre-Shipment Credit,2968411,12836579,24.3,UAE,Low,No,Yes,15,Low,Yes
IES000111,2019-09-15,FY2019-20,Andhra Pradesh,2,Chemicals & Pharma,28-30,Small,ICICI Bank,Export Bill Discounting,4247881,7279024,20.9,UAE,Low,No,Yes,15,Low,Yes
IES000112,2019-12-03,FY2019-20,Bihar,3,Gems & Jewellery,71,Small,EXIM Bank of India,Pre-Shipment Credit,5749814,23198348,6.2,Nigeria,High,No,No,30,Medium,No
IES000113,2019-03-13,FY2018-19,Andhra Pradesh,2,Plastics & Rubber,39-40,Micro,ICICI Bank,Export Bill Discounting,701736,1301365,39.8,Others,Medium,No,Yes,48,Medium,Yes
IES000114,2016-11-19,FY2016-17,Tamil Nadu,1,Gems & Jewellery,71,Micro,Indian Bank,Export Bill Discounting,4550496,15411749,48.9,Bangladesh,Medium,No,No,40,Medium,No
IES000115,2016-02-12,FY2015-16,Odisha,3,Handicrafts,97,Small,Axis Bank,Post-Shipment Credit,598094,1403190,13.9,UK,Low,No,Yes,20,Low,Yes
IES000116,2020-02-27,FY2019-20,Karnataka,1,Chemicals & Pharma,28-30,Medium,State Bank of India,Export Bill Discounting,10558176,39612631,45.3,USA,Low,No,Yes,30,Medium,Yes
IES000117,2023-06-09,FY2023-24,Karnataka,1,Agriculture & Food Products,01-24,Medium,Bank of India,ECGC-backed Term Loan,2319370,6067597,43.8,South Africa,Medium,No,No,55,Medium,No
IES000118,2017-10-30,FY2017-18,West Bengal,2,Marine Products,03,Small,Punjab National Bank,Pre-Shipment Credit,851769,2148511,51.5,China,Medium,No,Yes,50,Medium,Yes
IES000119,2018-10-03,FY2018-19,Maharashtra,1,Agriculture & Food Products,01-24,Micro,Indian Bank,Export Bill Discounting,479537,1799516,42.7,Bangladesh,Medium,No,Yes,55,Medium,No
IES000120,2022-05-17,FY2022-23,West Bengal,2,Electronic Components,85-90,Micro,State Bank of India,Export Bill Discounting,4124910,7463495,50.1,Others,Medium,No,Yes,40,Medium,Yes
IES000121,2017-01-09,FY2016-17,Gujarat,1,Leather & Footwear,41-64,Small,Union Bank of India,Export Bill Discounting,1970840,4848559,49.8,Vietnam,Low,No,Yes,33,Medium,Yes
IES000122,2019-06-14,FY2019-20,Assam,3,Handicrafts,97,Small,Canara Bank,Pre-Shipment Credit,498652,1330206,5.5,UAE,Low,Yes,Yes,55,Medium,No
IES000123,2015-10-01,FY2015-16,Telangana,2,Leather & Footwear,41-64,Micro,State Bank of India,Post-Shipment Credit,672087,2924802,33.7,Bangladesh,Medium,No,Yes,48,Medium,Yes
IES000124,2016-05-03,FY2016-17,Uttar Pradesh,2,Agriculture & Food Products,01-24,Small,Bank of Baroda,Packing Credit,894321,3036677,27.4,Singapore,Low,No,Yes,30,Medium,Yes
IES000125,2023-09-02,FY2023-24,Karnataka,1,Engineering Goods,84-85,Micro,HDFC Bank,Packing Credit,1742543,6129491,42.6,USA,Low,No,Yes,30,Medium,No
IES000126,2022-05-08,FY2022-23,Odisha,3,Agriculture & Food Products,01-24,Micro,Bank of Baroda,Post-Shipment Credit,317742,1231166,44.5,China,Medium,No,Yes,55,Medium,Yes
IES000127,2020-10-13,FY2020-21,Uttarakhand,3,Handicrafts,97,Micro,ICICI Bank,Export Factoring,165787,277307,32.5,UAE,Low,No,Yes,45,Medium,Yes
IES000128,2023-07-20,FY2023-24,Karnataka,1,Leather & Footwear,41-64,Micro,HDFC Bank,Packing Credit,517187,1460842,49.4,Germany,Low,Yes,Yes,73,High,No
IES000129,2021-09-08,FY2021-22,West Bengal,2,Agriculture & Food Products,01-24,Micro,Indian Bank,Packing Credit,306743,591699,43.1,Others,Medium,No,Yes,55,Medium,Yes
IES000130,2016-10-08,FY2016-17,Madhya Pradesh,2,Handicrafts,97,Micro,ICICI Bank,Export Factoring,209104,701471,10.1,USA,Low,Yes,Yes,60,High,No
IES000131,2021-03-07,FY2020-21,Chhattisgarh,3,Plastics & Rubber,39-40,Medium,Bank of India,Pre-Shipment Credit,2660610,4571696,46.1,Egypt,High,No,Yes,53,Medium,Yes
IES000132,2023-07-18,FY2023-24,Gujarat,1,Marine Products,03,Medium,Bank of Baroda,Export Bill Discounting,1630455,5900171,9.1,UAE,Low,No,Yes,25,Low,Yes
IES000133,2018-11-06,FY2018-19,Haryana,2,Electronic Components,85-90,Micro,Indian Bank,Export Factoring,1801183,7093776,52.4,China,Medium,No,Yes,40,Medium,No
IES000134,2019-04-15,FY2019-20,Gujarat,1,Gems & Jewellery,71,Micro,EXIM Bank of India,Pre-Shipment Credit,2184425,9738173,42.7,Iran,High,No,No,55,Medium,No
IES000135,2021-05-06,FY2021-22,Gujarat,1,Engineering Goods,84-85,Micro,ICICI Bank,Post-Shipment Credit,1486123,5693992,32.9,USA,Low,No,Yes,30,Medium,Yes
IES000136,2019-09-14,FY2019-20,Telangana,2,Electronic Components,85-90,Micro,State Bank of India,Post-Shipment Credit,2654125,7359002,50.3,China,Medium,No,Yes,40,Medium,No
IES000137,2019-11-13,FY2019-20,West Bengal,2,Marine Products,03,Micro,SIDBI,Export Bill Discounting,409763,628601,28.4,China,Medium,No,Yes,45,Medium,Yes
IES000138,2016-08-24,FY2016-17,West Bengal,2,Electronic Components,85-90,Micro,Indian Bank,Export Bill Discounting,1903790,3177253,10.9,Singapore,Low,No,Yes,10,Low,Yes
IES000139,2015-07-14,FY2015-16,Tamil Nadu,1,Leather & Footwear,41-64,Micro,Punjab National Bank,Export Bill Discounting,671746,2511076,34.2,Nigeria,High,Yes,Yes,98,High,No
IES000140,2021-06-29,FY2021-22,Maharashtra,1,Handicrafts,97,Medium,ICICI Bank,Export Factoring,674426,2958381,23.7,Brazil,Medium,No,Yes,35,Medium,Yes
IES000141,2015-11-10,FY2015-16,Maharashtra,1,Textiles & Apparel,50-63,Small,Axis Bank,Packing Credit,2291798,4975006,53.2,Egypt,High,No,Yes,58,Medium,Yes
IES000142,2016-10-25,FY2016-17,Maharashtra,1,Agriculture & Food Products,01-24,Medium,Axis Bank,Packing Credit,1789417,2749373,53.5,USA,Low,No,Yes,35,Medium,Yes
IES000143,2016-08-03,FY2016-17,Karnataka,1,Plastics & Rubber,39-40,Small,SIDBI,Export Bill Discounting,1687280,2904466,32.7,Singapore,Low,No,Yes,33,Medium,No
IES000144,2016-12-18,FY2016-17,Punjab,2,Handicrafts,97,Small,EXIM Bank of India,Export Bill Discounting,470067,2072011,31.2,Singapore,Low,No,Yes,40,Medium,No
